spanish,english,level,image_link
calentar,to heat,A1, https://img.favpng.com/15/22/17/computer-icons-scalable-vector-graphics-clip-art-png-favpng-PQWXELLgKqEh8Y7TKSdyekyTz_t.jpg
callar,to be silent,A1, https://img.favpng.com/15/22/17/computer-icons-scalable-vector-graphics-clip-art-png-favpng-PQWXELLgKqEh8Y7TKSdyekyTz_t.jpg
calmar,to calm,A1, https://img.favpng.com/15/22/17/computer-icons-scalable-vector-graphics-clip-art-png-favpng-PQWXELLgKqEh8Y7TKSdyekyTz_t.jpg
cambiar,to change,A1, https://img.favpng.com/15/22/17/computer-icons-scalable-vector-graphics-clip-art-png-favpng-PQWXELLgKqEh8Y7TKSdyekyTz_t.jpg
caminar,to walk,A1, https://img.favpng.com/15/22/17/computer-icons-scalable-vector-graphics-clip-art-png-favpng-PQWXELLgKqEh8Y7TKSdyekyTz_t.jpg
cancelar,to cancel,A1, https://img.favpng.com/15/22/17/computer-icons-scalable-vector-graphics-clip-art-png-favpng-PQWXELLgKqEh8Y7TKSdyekyTz_t.jpg
cantar,to sing,A1, https://img.favpng.com/15/22/17/computer-icons-scalable-vector-graphics-clip-art-png-favpng-PQWXELLgKqEh8Y7TKSdyekyTz_t.jpg
capturar,to capture,A1, https://img.favpng.com/15/22/17/computer-icons-scalable-vector-graphics-clip-art-png-favpng-PQWXELLgKqEh8Y7TKSdyekyTz_t.jpg
castigar,to punish,A1, https://img.favpng.com/15/22/17/computer-icons-scalable-vector-graphics-clip-art-png-favpng-PQWXELLgKqEh8Y7TKSdyekyTz_t.jpg
causar,to cause,A1, https://img.favpng.com/15/22/17/computer-icons-scalable-vector-graphics-clip-art-png-favpng-PQWXELLgKqEh8Y7TKSdyekyTz_t.jpg
cazar,to hunt,A1, https://img.favpng.com/15/22/17/computer-icons-scalable-vector-graphics-clip-art-png-favpng-PQWXELLgKqEh8Y7TKSdyekyTz_t.jpg
ceder,to yield,A1, https://img.favpng.com/15/22/17/computer-icons-scalable-vector-graphics-clip-art-png-favpng-PQWXELLgKqEh8Y7TKSdyekyTz_t.jpg
